website_address,country,referrer
https://apache.org,United Kingdom,""
http://newsvine.com,United Kingdom,""
http://washington.edu,United Kingdom,""
http://ucoz.com,United Kingdom,""
http://howstuffworks.com,United Kingdom,""
https://list-manage.com,United Kingdom,""
http://sphinn.com,United Kingdom,""
https://reuters.com,United Kingdom,""
https://businesswire.com,United Kingdom,""
https://europa.eu,United Kingdom,""
http://soundcloud.com,United Kingdom,""
https://auda.org.au,United Kingdom,""
https://jiathis.com,United Kingdom,""
https://amazon.co.jp,United Kingdom,""
http://xinhuanet.com,United Kingdom,""
http://artisteer.com,United Kingdom,""
https://tmall.com,United Kingdom,""
http://accuweather.com,United Kingdom,""
https://tamu.edu,United Kingdom,""
https://google.es,United Kingdom,""
https://altervista.org,United Kingdom,""
http://cdc.gov,United Kingdom,""
https://i2i.jp,United Kingdom,""
http://nba.com,United Kingdom,""
http://opensource.org,United Kingdom,""
https://cloudflare.com,United Kingdom,""
http://about.me,United Kingdom,""
https://altervista.org,United Kingdom,""
https://hexun.com,United Kingdom,""
http://sakura.ne.jp,United Kingdom,""
http://cargocollective.com,United Kingdom,""
https://dailymail.co.uk,United Kingdom,""
http://shop-pro.jp,United Kingdom,""
http://epa.gov,United Kingdom,""
http://globo.com,United Kingdom,""
https://linkedin.com,United Kingdom,""
https://mysql.com,United Kingdom,""
https://qq.com,United Kingdom,""
http://about.me,United Kingdom,""
http://ning.com,United Kingdom,""
http://jimdo.com,United Kingdom,""
http://slideshare.net,United Kingdom,""
https://bbb.org,United Kingdom,""
http://japanpost.jp,United Kingdom,""
http://com.com,United Kingdom,""
https://auda.org.au,United Kingdom,""
https://youtu.be,United Kingdom,""
http://ox.ac.uk,United Kingdom,""
http://flavors.me,United Kingdom,""
https://upenn.edu,United Kingdom,""
https://tuttocitta.it,United Kingdom,""
https://sciencedaily.com,United Kingdom,""
https://mediafire.com,United Kingdom,""
https://people.com.cn,United Kingdom,""
https://bluehost.com,United Kingdom,""
https://patch.com,United Kingdom,""
http://wufoo.com,United Kingdom,""
https://ezinearticles.com,United Kingdom,""
https://mlb.com,United Kingdom,""
https://dedecms.com,United Kingdom,""
http://usnews.com,United Kingdom,""
http://feedburner.com,United Kingdom,""
http://irs.gov,United Kingdom,""
http://omniture.com,United Kingdom,""
https://foxnews.com,United Kingdom,""
https://vistaprint.com,United Kingdom,""
http://blogger.com,United Kingdom,""
http://microsoft.com,United Kingdom,""
http://bing.com,United Kingdom,""
https://photobucket.com,United Kingdom,""
https://ameblo.jp,United Kingdom,""
https://theglobeandmail.com,United Kingdom,""
http://blogs.com,United Kingdom,""
http://creativecommons.org,United Kingdom,""
http://slideshare.net,United Kingdom,""
http://cocolog-nifty.com,United Kingdom,""
http://mapy.cz,United Kingdom,""
http://cdc.gov,United Kingdom,""
https://bbb.org,United Kingdom,""
https://360.cn,United Kingdom,""
http://github.com,United Kingdom,""
http://acquirethisname.com,United Kingdom,""
https://google.com.hk,United Kingdom,""
http://webeden.co.uk,United Kingdom,""
https://msu.edu,United Kingdom,""
https://pagesperso-orange.fr,United Kingdom,""
http://hp.com,United Kingdom,""
http://bbb.org,United Kingdom,""
https://wordpress.org,United Kingdom,""
https://archive.org,United Kingdom,""
https://posterous.com,United Kingdom,""
https://cbc.ca,United Kingdom,""
https://live.com,United Kingdom,""
http://cisco.com,United Kingdom,""
http://goodreads.com,United Kingdom,""
http://gravatar.com,United Kingdom,""
http://goodreads.com,United Kingdom,""
https://engadget.com,United Kingdom,""
http://alexa.com,United Kingdom,""
https://latimes.com,United Kingdom,""
https://instagram.com,United Kingdom,""
https://nifty.com,United Kingdom,""
https://cdbaby.com,United Kingdom,""
https://cafepress.com,United Kingdom,""
https://phpbb.com,United Kingdom,""
